Hour,Diesel,Sim_Load
309,,2437.8471671058746
310,,2356.216315866338
311,,2247.525690797652
312,,2136.962733930425
313,,2037.9368511094021
314,,1980.5791509099497
315,,1931.5140178555725
316,,1912.8569602979865
317,,1925.5995084434119
318,,1982.0669817008607
319,,2111.6633906513407
320,,2289.109446481349
321,,2368.858795643945
322,,2437.574059189616
323,,2603.3417080005247
324,,2586.976013287005
325,,2492.86098056947
326,,2546.650893832646
327,,2624.5823424017763
328,,2767.188207622544
329,,2830.6594548681237
330,,2793.1453830902724
331,,2642.2438436057905
332,,2590.4960020932795
333,,2548.5142696394387
334,,2412.240008078675
335,,2287.573085430869
336,,2169.6256878505565
337,,2069.7532581417167
338,,2021.3840903468113
339,,1992.0753442389396
340,,1959.1869419130917
341,,1979.1412897374905
342,,2048.7079474306042
343,,2168.435875515063
344,,2377.2032207350194
345,,2427.364955783506
346,,2495.3839066301152
347,,2661.6306931532245
348,,2649.7063050725214
349,,2553.3951573067056
350,,2580.469651752172
351,,2675.0790599252177
352,,2831.4294576527905
353,,2902.9723572787752
354,,2860.32494143056
355,,2720.594765172877
356,,2643.27833491671
357,,2579.229788780205
358,,2478.195684382979
359,,2353.014095010438
360,,2210.975373912625
361,,2111.9300578637894
362,,2074.5891640822447
363,,2039.6502100850064
364,,2029.0132344518365
365,,2045.4064163084488
366,,2113.1464089066435
367,,2236.1673795255824
368,,2399.052550581757
369,,2470.7029051246404
370,,2543.3049246594605
371,,2671.6433232570016
372,,2637.394789044763
373,,2561.272879829677
374,,2603.3472557530245
375,,2686.4834845581313
376,,2827.3784978539943
377,,2888.4719636150326
378,,2820.739245915623
379,,2683.5250988922908
380,,2628.3880887400924
381,,2587.1824270719285
382,,2465.0026141322337
383,,2336.6344560303814
384,,2216.927784014135
385,,2132.5294398846427
386,,2083.1641186134916
387,,2047.976941600848
388,,2025.2107317344337
389,,2039.8402063028516
390,,2095.031659408195
391,,2198.6420588078495
392,,2330.514290090458
393,,2408.535320898682
394,,2491.9440575507006
395,,2645.390338192409
396,,2651.491525121134
397,,2582.1296009955718
398,,2617.6658640982255
399,,2705.6372110872494
400,,2848.7071058756096
401,,2921.0686900909204
402,,2859.4792309913696
403,,2752.4877421215942
404,,2664.3049209636692
405,,2607.5997683199803
406,,2526.428413521229
407,,2377.411378801199
408,,2254.4335424294795
409,,2167.644296393851
410,,2110.817214918232
411,,2073.097255596712
412,,2050.113486245448
413,,2065.3151035240594
414,,2111.500681196935
415,,2192.4158306913914
416,,2289.44048923165
417,,2354.0908740167315
418,,2431.3943858720386
419,,2590.6399900496804
420,,2613.2467190262882
421,,2552.6349369891527
422,,2544.6966166207835
423,,2620.1276138580215
424,,2774.8558399533613
425,,2837.930305693094
426,,2787.0032821069867
427,,2681.7549018008735
428,,2599.9435487565765
429,,2548.9970613123223
430,,2469.9666031744086
431,,2353.2447594237537
432,,2246.584479221153
433,,2151.8585303575683
434,,2100.6514898152836
435,,2065.6288694599248
436,,2038.9224002512844
437,,2045.4871703069375
438,,2082.239422213366
439,,2155.200327201515
440,,2245.1798185830353
441,,2307.8705038895823
442,,2402.759362336619
443,,2545.883704901613
444,,2555.2527847527595
445,,2475.4825574684623
446,,2526.5152388046317
447,,2612.4281937432597
448,,2764.218284058199
449,,2821.2903971212495
450,,2747.76671033135
451,,2641.574261903002
452,,2581.5525642806315
453,,2531.2892878705825
454,,2447.9094130282347
455,,2331.254930366558
456,,2209.8521215036762
457,,2115.571996963825
458,,2068.105436991028
459,,2027.9171638298847
460,,2011.502642365905
461,,2027.1993502681726
462,,2067.725856918143
463,,2181.131794633864
464,,2302.1529834806242
465,,2351.400451793244
466,,2421.095790662355
467,,2585.122775373771
468,,2570.6722740573605
469,,2470.6911349020597
470,,2495.33802850504
471,,2591.7439832698315
472,,2743.227067599
473,,2801.605320831344
474,,2765.5172987431292
475,,2653.258007603683
476,,2593.270004705571
477,,2533.0302254306885
478,,2448.0874332025355
479,,2327.1418165025448
480,,2204.114491274827
481,,2117.2526675859567
482,,2064.7763130913904
483,,2015.0237500533426
484,,2005.907120071873
485,,2020.9400516749126
486,,2086.1777572328815
487,,2225.6862415413766
488,,2391.992766390162
489,,2470.110089691162
490,,2533.423778040299
491,,2674.4999793705097
492,,2643.6166051401515
493,,2553.5862475211097
494,,2586.809309796486
495,,2662.2723621157284
496,,2831.093109487741
497,,2894.4107343071423
498,,2838.3769676679713
499,,2728.921903798235
500,,2661.2528163655356
501,,2608.5433895563206
502,,2502.1271869367265
503,,2337.327918152356
504,,2217.315250965494
505,,2124.7821033713913
506,,2072.117913799086
507,,2025.8586617314438
508,,2010.233416531193
509,,2021.7514384341403
510,,2072.59666353608
511,,2213.72813756425
512,,2370.384965520637
513,,2445.529878233932
514,,2502.9872727648653
515,,2649.982035199359
516,,2635.8634585090294
517,,2531.262811431756
518,,2565.166861782493
519,,2641.37203996086
520,,2807.8693236855206
521,,2889.728574807391
522,,2848.2521650837457
523,,2724.9278401030556
524,,2645.652830705845
525,,2561.1518523525115
526,,2466.022330466736
527,,2319.734960572548
528,,2207.1674399992808
529,,2107.733557062671
530,,2068.985864346664
531,,2032.6095030337756
532,,2007.7173520367496
533,,2031.3788564132078
534,,2089.6408703969746
535,,2211.3461154984507
536,,2364.8637641361715
537,,2443.0280057789764
538,,2502.228527697656
539,,2647.429151944694
540,,2648.0249476468325
541,,2546.402020008978
542,,2574.832271900803
543,,2656.618989687134
544,,2796.3856825775774
545,,2862.435565837076
546,,2806.9507555369055
547,,2678.336654641226
548,,2607.9937209512395
549,,2544.680961429457
550,,2432.872011118797
551,,2319.6316757051613
552,,2215.476393060217
553,,2127.801573031087
554,,2067.4806595152495
555,,2027.8182134204123
556,,2006.810662437361
557,,2020.671120330647
558,,2061.0106952599986
559,,2162.5295892207782
560,,2291.4182360356303
561,,2376.1006500818416
562,,2447.3550772346734
563,,2584.905781099019
