WindSpeed_080m,WindSpeed_100m,WindSpeed_120m,WindDirection_080m,WindDirection_100m,WindDirection_120m,Temperature_080m,Temperature_100m,Temperature_120m,SpecificHumidity_100m,TurbulentKineticEnergy_100m,GlobalHorizontalIrradiance,SurfacePressure,Wind_Regression_Exponent,Wind_Regression_Initial_Value,Extraterrestrial_Irradiance,Global_Horizontal_Irradiance,Direct_Normal_Irradiance,Diffuse_Horizontal_Irradiance,Temperature,Wind_Direction_Ground,Wind_Speed_Ground,Albedo,Wind Output (kWh),Useable Wind Output (kWh),Wind Curtailment (kWh),Total Wind Output (kWh),Solar Output (kWh),Useable Solar Output (kWh),Solar Curtailment (kWh),Total Solar Output (kWh),Load (kWh)
4.483333333333333,5.116666666666666,5.550000000000002,238.66666666666663,180.5,63.16666666666666,-23.316666666666666,-23.35,-23.399999999999995,0.000465,0.0,0.0,990.5545,0.5288072557749264,-0.812495775961972,218.05555555555557,116.94444444444444,413.88888888888886,52.5,-15.3,290,5.8,0.6000000000000001,23.5969585283733,23.5969585283733,0.0,969412.5495984514,278.4940193409194,278.4940193409194,0.0,1279611.3997247424,923.5722054597217
4.4,5.0,5.466666666666666,350.5,352.5,354.5,-23.566666666666666,-23.65,-23.75,0.0004533333333333333,0.0,0.0,990.8466666666667,0.5367285080262513,-0.8678521805544057,318.8888888888889,183.88888888888889,598.8888888888888,47.77777777777778,-12.7,290,5.8,0.6000000000000001,20.484419677609097,20.484419677609097,0.0,969412.5495984514,469.92557359559225,469.92557359559225,0.0,1279611.3997247424,969.9594643424243
4.533333333333333,5.083333333333333,5.583333333333332,346.33333333333326,347.83333333333326,350.5,-23.83333333333333,-23.91666666666667,-24.03333333333333,0.00044,0.08333333333333333,0.0,991.1936666666667,0.5137778352782065,-0.7399729945651881,368.33333333333326,228.88888888888889,569.4444444444445,79.44444444444444,-10.3,290,5.6,0.6000000000000001,25.536697783776585,25.536697783776585,0.0,969412.5495984514,548.6547112527136,548.6547112527136,0.0,1279611.3997247424,993.2353991641106
4.483333333333333,5.033333333333334,5.466666666666666,343.0,344.5,347.16666666666674,-24.100000000000005,-24.15,-24.25,0.00043,0.0,0.0,991.648,0.4901593788356529,-0.6455581570725806,362.77777777777777,159.16666666666666,219.16666666666663,102.5,-8.8,290,5.3,0.6000000000000001,25.87475493332105,25.87475493332105,0.0,969412.5495984514,303.07805289444144,303.07805289444144,0.0,1279611.3997247424,989.0325258891933
4.233333333333333,4.733333333333333,5.166666666666667,338.8333333333333,340.5,343.5,-24.4,-24.48333333333333,-24.53333333333333,0.00041500000000000006,0.0,29.53333333333333,992.144,0.4917099805123587,-0.7111015763674122,303.3333333333333,172.77777777777774,445.5555555555555,76.3888888888889,-8.4,290,5.0,0.6000000000000001,18.216125629954142,18.216125629954142,0.0,969412.5495984514,395.3376196654759,395.3376196654759,0.0,1279611.3997247424,1015.0883081978436
3.5500000000000003,4.066666666666666,4.516666666666667,332.8333333333333,334.1666666666667,337.6666666666667,-24.33333333333333,-24.5,-24.63333333333333,0.0004133333333333333,0.1,114.53333333333332,992.6595,0.5945025782955421,-1.3371807803231868,193.61111111111111,110.55555555555556,500.5555555555555,41.388888888888886,-9.0,280,4.7,0.6000000000000001,0.0,0.0,0.0,969412.5495984514,275.07189425407046,275.07189425407046,0.0,1279611.3997247424,1079.8705926647901
2.75,2.983333333333333,3.233333333333334,324.3333333333333,324.3333333333333,327.8333333333333,-23.4,-23.6,-23.9,0.0004383333333333333,0.25,196.9333333333333,993.172,0.3980609729626665,-0.7350033932279596,47.22222222222222,24.722222222222218,173.61111111111111,13.333333333333336,-10.3,270,4.4,0.6000000000000001,0.0,0.0,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,1119.4105014284644
2.416666666666667,2.5,2.6166666666666667,313.0,312.6666666666667,315.5,-22.200000000000006,-22.4,-22.700000000000006,0.0004666666666666666,0.36666666666666653,248.61666666666665,993.665,0.19447465353943685,0.027251123069805816,0.0,0.0,0.0,0.0,-12.1,260,4.4,0.6000000000000001,0.0,0.0,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,1129.2159622558356
2.6666666666666665,2.6833333333333336,2.7833333333333337,307.5,307.1666666666667,309.5,-21.116666666666667,-21.33333333333334,-21.58333333333333,0.0004966666666666666,0.4,250.63333333333333,994.0693333333335,0.10274718128891362,0.5254092943140785,0.0,0.0,0.0,0.0,-13.7,260,4.2,0.6000000000000001,0.0,0.0,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,1105.9099393584183
2.783333333333333,2.8000000000000003,2.9,307.5,307.3333333333333,309.0,-20.266666666666666,-20.516666666666666,-20.75,0.0005033333333333334,0.38333333333333336,206.75,994.1406666666667,0.0985268670593082,0.5869341651648063,0.0,0.0,0.0,0.0,-14.8,260,4.2,0.6000000000000001,0.0,0.0,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,1079.9621655104484
